event,raw_date,year
Invasión Alemana a Polonia,1939-09-01,1939
Invasión Soviética a Polonia,1939-09-11,1939
Invasión Soviética a Finlandia,1939-11-30,1939
Operación Weserübung,1940-04-09,1940
Batalla de los Paises Bajos,1940-05-10,1940
Batalla de Francia,1940-05-13,1940
Batalla de Inglaterra,1940-06-01,1940-1941
Batalla de Grecia,1940-08-01,1940-1941
Invasión a Yugoslavia,1941-04-06,1941
Operación Barbaroja,1941-06-22,1941
Batalla de Moscú,1941-10-02,1941
Batalla del Atlántico,1940-06-04,1940-1943
Batalla de Stalingrado,1942-08-11,1942-1943
Batalla de Kursk (Operación Ciudadela),1943-07-05,1943
Batalla de Italia,1943-09-08,1943
Día D Desembarco en Normandía,1944-06-06,1944
Operación Market Garden,1944-09-17,1944
Batalla de las Ardenas,1944-12-05,1944-1945
Batalla de Berlín,1945-04-16,1945
